Epoch: 750 | Loss_D: 0.5845040082931519 | Loss_G: 1.7609210014343262 
Epoch: 760 | Loss_D: 0.48865950107574463 | Loss_G: 1.9702328443527222 
Epoch: 770 | Loss_D: 0.5520775318145752 | Loss_G: 2.3169937133789062 
Epoch: 780 | Loss_D: 0.505223274230957 | Loss_G: 2.189589500427246 
Epoch: 790 | Loss_D: 0.49396592378616333 | Loss_G: 2.312330722808838 
Epoch: 800 | Loss_D: 0.5611972212791443 | Loss_G: 2.3540468215942383 
Epoch: 810 | Loss_D: 0.5031246542930603 | Loss_G: 2.0338022708892822 
Epoch: 820 | Loss_D: 0.42497456073760986 | Loss_G: 2.2595062255859375 
Epoch: 830 | Loss_D: 0.5861822366714478 | Loss_G: 1.8246923685073853 
Epoch: 840 | Loss_D: 0.5836771726608276 | Loss_G: 1.8469973802566528 
Epoch: 850 | Loss_D: 0.5618765950202942 | Loss_G: 2.038780689239502 
Epoch: 860 | Loss_D: 0.5910619497299194 | Loss_G: 1.9390779733657837 
Epoch: 870 | Loss_D: 0.45422688126564026 | Loss_G: 1.8058977127075195 
Epoch: 880 | Loss_D: 0.5084342956542969 | Loss_G: 1.9270803928375244 
Epoch: 890 | Loss_D: 0.6248389482498169 | Loss_G: 1.8194040060043335 
Epoch: 900 | Loss_D: 0.4879588484764099 | Loss_G: 1.7311530113220215 
Epoch: 910 | Loss_D: 0.44231584668159485 | Loss_G: 2.076658248901367 
Epoch: 920 | Loss_D: 0.5145096778869629 | Loss_G: 2.0035247802734375 
Epoch: 930 | Loss_D: 0.5108366012573242 | Loss_G: 2.1116175651550293 
Epoch: 940 | Loss_D: 0.43208467960357666 | Loss_G: 2.131263494491577 
Epoch: 950 | Loss_D: 0.5674920082092285 | Loss_G: 2.2476954460144043 
Epoch: 960 | Loss_D: 0.47441256046295166 | Loss_G: 2.2005207538604736 
Epoch: 970 | Loss_D: 0.624574601650238 | Loss_G: 1.9000369310379028 
Epoch: 980 | Loss_D: 0.567184567451477 | Loss_G: 2.040778636932373 
Epoch: 990 | Loss_D: 0.5250027179718018 | Loss_G: 2.1299896240234375 
Epoch: 1000 | Loss_D: 0.4536152482032776 | Loss_G: 1.9336072206497192 
Epoch: 1010 | Loss_D: 0.5756686925888062 | Loss_G: 2.023996114730835 
Epoch: 1020 | Loss_D: 0.46354901790618896 | Loss_G: 2.369415283203125 
